Load, Score, SAV (1/cm), Max Mises Stress (MPa), Node 1 Displacement (cm), Node 2 Displacement (cm)
1, -40.239, 40.239, 39.9, 0.017, 0.020
2, 1.017, 40.239, 55.5, 0.294, 0.431
1, -40.239, 40.239, 38.9, 0.017, 0.020
2, 1.013, 40.239, 55.3, 0.294, 0.431
1, -40.239, 40.239, 39.9, 0.017, 0.020
2, 1.014, 40.239, 55.3, 0.294, 0.431
1, -40.239, 40.239, 39.8, 0.017, 0.020
2, 1.002, 40.239, 54.7, 0.294, 0.431
1, -40.239, 40.239, 39.8, 0.017, 0.020
2, 1.008, 40.239, 55.0, 0.294, 0.431
1, -40.239, 40.239, 38.9, 0.017, 0.020
2, 1.009, 40.239, 55.0, 0.294, 0.431
1, -40.239, 40.239, 39.5, 0.017, 0.020
2, 1.007, 40.239, 54.9, 0.294, 0.431
1, -40.239, 40.239, 39.8, 0.017, 0.020
2, 1.009, 40.239, 55.0, 0.294, 0.431
1, -40.239, 40.239, 39.9, 0.017, 0.020
2, -40.239, 40.239, 54.5, 0.294, 0.431
1, -40.239, 40.239, 39.9, 0.017, 0.020
2, 1.007, 40.239, 54.9, 0.294, 0.431
